stock_code,stock_name,city
000001,平安银行,深圳
000002,万科A,深圳
000003,PT金田A,深圳
000004,国华退,深圳
000005,ST星源,深圳
000006,深振业A,深圳
000007,全新好,深圳
000009,中国宝安,深圳
000010,*ST美丽,深圳
000011,深物业A,深圳
000012,南玻A,深圳
000013,*ST石化A,深圳
000014,沙河股份,深圳
000015,PT中浩A,深圳
000016,*ST康佳A,深圳
000017,深中华A,深圳
000019,深粮控股,深圳
000020,深华发A,深圳
000021,深科技,深圳
000023,*ST深天,深圳
000024,招商地产,深圳
000025,特力A,深圳
000026,飞亚达,深圳
000027,深圳能源,深圳
000028,国药一致,深圳
000029,深深房A,深圳
000031,大悦城,深圳
000032,深桑达A,深圳
000033,新都退,深圳
000034,神州数码,深圳
000036,华联控股,深圳
000037,深南电A,深圳
000038,大通退,深圳
000039,中集集团,深圳
000040,*ST旭蓝,深圳
000042,中洲控股,深圳
000045,深纺织A,深圳
000047,ST中侨,深圳
000048,京基智农,深圳
000049,德赛电池,深圳
000050,深天马A,深圳
000055,方大集团,深圳
000056,*ST皇庭,深圳
000058,深赛格,深圳
000060,中金岭南,深圳
000061,农产品,深圳
000062,深圳华强,深圳
000063,中兴通讯,深圳
000066,中国长城,深圳
000068,华控赛格,深圳
000069,华侨城A,深圳
000070,特发信息,深圳
000078,ST海王,深圳
000088,盐田港,深圳
000089,深圳机场,深圳
000090,天健集团,深圳
000096,广聚能源,深圳
000099,中信海直,深圳
000100,TCL科技,惠州
000150,*ST宜康,汕头
000333,美的集团,佛山
000405,ST鑫光,珠海
000413,ST旭电,中山
000429,粤高速A,广州
000502,绿景退,广州
000507,珠海港,珠海
000513,丽珠集团,珠海
000522,白云山A,广州
000523,红棉股份,广州
000524,岭南控股,广州
000527,美的电器,佛山
000529,广弘控股,广州
000531,穗恒运A,广州
000532,华金资本,珠海
000533,顺钠股份,佛山
000534,万泽股份,汕头
000535,*ST猴王,深圳
000539,粤电力A,广州
000541,佛山照明,佛山
000542,TCL通讯,惠州
000555,神州信息,深圳
000573,粤宏远A,东莞
000576,甘化科工,江门
000588,PT粤金曼,潮州
000591,太阳能,中山
000601,韶能股份,韶关
000602,金马集团,潮州
000616,*ST海投,中山
000636,风华高科,肇庆
000637,茂化实华,茂名
000651,格力电器,珠海
000659,珠海中富,珠海
000660,*ST南华,广州
000676,智度股份,广州
000679,大连友谊,中山
000685,中山公用,中山
000687,华讯退,深圳
000689,ST宏业,汕头
000690,宝新能源,广东
000712,锦龙股份,东莞
000717,中南股份,韶关
000776,广发证券,广州
000782,恒申新材,江门
000823,超声电子,汕头
000828,东莞控股,东莞
000861,海印股份,广州
000893,亚钾国际,广州
000963,华东医药,中山
000973,佛塑科技,佛山
000987,越秀资本,广州
000999,华润三九,深圳
001201,东瑞股份,河源
001202,炬申股份,佛山
001209,洪兴股份,汕头
001212,中旗新材,佛山
001221,悍高集团,佛山
001229,魅视科技,广州
001232,N嘉立创,深圳
001283,豪鹏科技,深圳
001285,瑞立科密,广州
001287,中电港,深圳
001298,好上好,深圳
001308,康冠科技,深圳
001309,德明利,深圳
001313,粤海饲料,湛江
001314,亿道信息,深圳
001316,润贝航科,深圳
001319,铭科精技,东莞
001322,箭牌家居,佛山
001323,慕思股份,东莞
001326,联域股份,深圳
001338,永顺泰,广州
001339,智微智能,深圳
001378,德冠新材,佛山
001382,新亚电缆,清远
001386,马可波罗,东莞
001389,广合科技,广州
001399,惠科股份,深圳
001872,招商港口,深圳
001914,招商积余,深圳
001979,招商蛇口,深圳
002008,大族激光,深圳
002016,世荣兆业,珠海
002017,东信和平,珠海
002030,达安基因,广州
002031,巨轮智能,广东
002035,华帝股份,中山
002045,国光电器,广州
