stock_code,stock_name,city
605499,东鹏饮料,深圳
002815,崇达技术,深圳
002902,铭普光磁,东莞
002909,集泰化工,广州
002955,鸿合科技,深圳
000070,特发信息,深圳
832491,奥迪威,广州
603043,广州酒家,广州
002594,比亚迪,深圳
300760,迈瑞医疗,深圳
600036,招商银行,深圳
000651,格力电器,珠海
000333,美的集团,佛山
002475,立讯精密,东莞
000063,中兴通讯,深圳
000100,TCL科技,惠州
601238,广汽集团,广州
000002,万科A,深圳
000001,平安银行,深圳
601138,工业富联,深圳
002311,海大集团,广州
300888,稳健医疗,深圳
688036,传音控股,深圳
002916,深南电路,深圳
300124,汇川技术,深圳
002429,兆驰股份,深圳
300115,长盈精密,深圳
002456,欧菲光,深圳
300979,华利集团,中山
002831,裕同科技,深圳
300498,温氏股份,云浮
000776,广发证券,广州
600029,南方航空,广州
600332,白云山,广州
300146,汤臣倍健,广州
300014,亿纬锂能,惠州
002920,德赛西威,惠州
300207,欣旺达,深圳
000050,深天马A,深圳
000039,中集集团,深圳
001979,招商蛇口,深圳
300676,华大基因,深圳
002352,顺丰控股,深圳
002938,鹏鼎控股,深圳
002600,领益智造,深圳
300601,康泰生物,深圳
300136,信维通信,深圳
300012,华测检测,深圳
000021,深科技,深圳
000027,深圳能源,深圳
600098,广州发展,广州
601228,广州港,广州
002461,珠江啤酒,广州
600143,金发科技,广州
002152,广电运通,广州
600728,佳都科技,广州
